id,task_type,wer,cer,res_match,res_similarity,json_quality,hallucination
v01,vitals,0.3684,0.0614,1,1.0,1.0,No
t01,targeted,0.2174,0.0388,1,1.0,1.0,No
n01,narrative,0.2632,0.0667,1,1.0,1.0,No
t02,targeted,0.4762,0.0952,0,0.7,1.0,No
n02,narrative,0.3333,0.0455,1,1.0,1.0,No
v02,vitals,0.3333,0.0784,1,1.0,0.6666666666666666,No
t03,targeted,0.5,0.2043,1,1.0,1.0,No
n03,narrative,0.35,0.0746,1,1.0,1.0,No
v03,vitals,0.6,0.0972,0,0.75,0.5,No
n04,narrative,0.4231,0.071,1,1.0,1.0,No
v04,vitals,0.8,0.2958,1,1.0,0.0,No
t04,targeted,0.2812,0.0894,1,1.0,1.0,No
v05,vitals,0.9091,0.2698,1,1.0,0.5,No
t05,targeted,0.5185,0.1214,0,0.8182,1.0,No
n05,narrative,0.5926,0.1202,1,1.0,1.0,No
t06,targeted,0.6667,0.0966,1,1.0,1.0,No
n06,narrative,0.3793,0.0838,0,0.6667,1.0,No
v06,vitals,0.5,0.1111,0,0.9412,0.0,No
t07,targeted,0.3704,0.0943,1,1.0,1.0,No
n07,narrative,0.5,0.1152,0,0.8235,1.0,No
v07,vitals,0.5263,0.165,1,1.0,1.0,Yes
t08,targeted,0.375,0.0783,1,1.0,1.0,No
n08,narrative,0.3913,0.0987,0,0.8889,1.0,No
t09,targeted,0.4091,0.0864,1,1.0,1.0,No
n09,narrative,0.913,0.2519,1,1.0,1.0,No
v08,vitals,0.6087,0.1885,1,1.0,0.0,No
t10,targeted,0.7059,0.1049,1,1.0,1.0,No
n10,narrative,0.625,0.1187,1,1.0,1.0,No
v09,vitals,0.6667,0.1286,0,0.9167,1.0,No
