id,task_type,wer,res_similarity,extraction_quality,hallu_critique
v01,vitals,0.3684,1.0,1.0,NO
t01,targeted,0.2174,1.0,0.68,NO
n01,narrative,0.2632,1.0,0.8235,YES
t02,targeted,0.4762,0.7,0.76,YES
n02,narrative,0.3333,1.0,0.7059,NO
v02,vitals,0.3333,1.0,0.6666666666666666,NO
t03,targeted,0.5,1.0,1.0,NO
n03,narrative,0.35,1.0,0.9474,NO
v03,vitals,0.6,0.75,0.5,NO
n04,narrative,0.4231,1.0,0.625,NO
v04,vitals,0.8,1.0,0.0,NO
t04,targeted,0.2812,1.0,0.7826,NO
v05,vitals,0.9545,1.0,0.5,NO
t05,targeted,0.5185,0.8182,0.6818,NO
n05,narrative,0.6296,1.0,0.931,NO
t06,targeted,0.7143,1.0,0.6471,NO
n06,narrative,0.4138,0.6667,0.0,NO
v06,vitals,0.5625,0.9412,0.0,NO
t07,targeted,0.3704,1.0,0.72,NO
n07,narrative,0.5,0.8235,0.7391,NO
v07,vitals,0.6316,1.0,1.0,NO
t08,targeted,0.375,1.0,0.8571,YES
n08,narrative,0.3913,0.8889,0.5652,NO
t09,targeted,0.4545,1.0,0.8182,NO
n09,narrative,0.9565,1.0,1.0,NO
v08,vitals,0.6087,1.0,0.0,NO
t10,targeted,0.7059,1.0,0.6667,NO
n10,narrative,0.625,1.0,0.7083,NO
v09,vitals,0.75,0.9167,1.0,NO
